hero,weapon,field,before,after,originalValue,evidenceLevel,sourceField,reference
2,DualPistolGirl,portraitAddress,Portrait/DualPistolGirl,Portrait/DualPistolGirl,,retained-project-value,,
2,DualPistolGirl,projectileGravity,43.13350251695304,43.13350251695304,0.016,source-explicit,MoveParam.FreeGravity,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,recoverInk,10,10,,retained-project-value,,
2,DualPistolGirl,referenceBrakeDrag,,0.36,0.36,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceBrakeEndSpeed,,126.32275242334735,2.8115,source-explicit,MoveParam.GoStraightStateEndMaxSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceBrakeGravity,,188.70907351166954,0.07,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceFootEvery,,5,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceFootRadius,,1.591446519948413,2.1252,source-explicit,SplashPaintParam.WidthHalfNearest,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceFreeDrag,,0,0,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referencePlayerRadius,,0.21342097599534052,0.285,source-explicit,CollisionParam.EndRadiusForPlayer,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceRules,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceTrailBudget,,2.0,2.0,source-explicit,SplashSpawnParam.SpawnNum,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceTrailRandomPhase,,0,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,referenceTrailStart,,0.7488455298082124,1.0,source-explicit,SplashSpawnParam.SpawnNearestLength,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,semiBufferSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,shootMoveSpeed,3.125,2.6958439073095644,0.06,source-explicit,WeaponParam.MoveSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,shotInk,1.4,1.4,,retained-project-value,,
2,DualPistolGirl,speedMax,128.0525855972043,128.0525855972043,,retained-project-value,,
2,DualPistolGirl,speedMin,128.0525855972043,128.0525855972043,,retained-project-value,,
2,DualPistolGirl,splatlingChargeJumpSpeed,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingChargeMoveSpeed,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingFirstChargeSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingFirstShootSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingFootEvery,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingFootRadius,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingFullShootSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingMinChargeSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingPitchSpread,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingPlayerRadius,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingPostSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingSlowChargeMultiplier,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingSpeedBias,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingSpreadBias,0,0,,retained-project-value,,
2,DualPistolGirl,splatlingTrailCount,0,0,,retained-project-value,,
2,DualPistolGirl,spreadDegrees,3.2,3.2,,retained-project-value,,
2,DualPistolGirl,spreadExpandSeconds,1,1,,retained-project-value,,
2,DualPistolGirl,spreadRecoverSeconds,0.5,0.5,,retained-project-value,,
2,DualPistolGirl,startSeconds,0,0,,retained-project-value,,
2,DualPistolGirl,straightSeconds,0.05,0.05,3,source-explicit,MoveParam.GoStraightToBrakeStateFrame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,swimAcceleration,50,50,,retained-project-value,,
2,DualPistolGirl,swimHealthRecoverRate,60,60,,retained-project-value,,
2,DualPistolGirl,swimRecoverInk,33.333332,33.333332,,retained-project-value,,
2,DualPistolGirl,swimSpeed,8,8.6267,0.192,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
2,DualPistolGirl,trailDepthScale,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,trailMaxDrop,2.4,2.4,,retained-project-value,,
2,DualPistolGirl,trailRadiusMax,1.1367475142488663,1.1367475142488663,1.518,source-explicit,SplashPaintParam.WidthHalf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,trailRadiusMin,1.1367475142488663,1.1367475142488663,1.518,source-explicit,SplashPaintParam.WidthHalf,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,trailSpacing,5.2419187086574865,5.2419187086574865,7.0,source-explicit,SplashSpawnParam.SpawnBetweenLength,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,wallDropGroundRadius,,0.44930731788492745,0.6,source-explicit,WallDropCollisionPaintParam.PaintRadiusGround,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,wallDropRadius,,0.48674959437533805,0.65,source-explicit,WallDropCollisionPaintParam.PaintRadiusFall,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,wallDropSeconds,,1.0833333333333333,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,wallDropSpeed,,2.6958439073095644,0.06,source-explicit,WallDropMoveParam.FallPeriodFirstTargetSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponManeuverGallon.game__GameParameterTable.json
2,DualPistolGirl,wallGraceSeconds,0.1,0.1,,retained-project-value,,
2,DualPistolGirl,wallJumpSpeed,4,4,,retained-project-value,,
2,DualPistolGirl,wallProbeDistance,0.6,0.6,,retained-project-value,,
2,DualPistolGirl,wallSwimSpeed,4,4,,retained-project-value,,
2,DualPistolGirl,weaponConfigPath,Assets/GameResource/Weapons/DualPistolGirl/DualPistolGirlWeaponConfig.asset,Assets/GameResource/Weapons/DualPistolGirl/DualPistolGirlWeaponConfig.asset,,retained-project-value,,
2,DualPistolGirl,weaponPrefabAddress,Weapon/DualPistols,Weapon/DualPistols,,retained-project-value,,
2,DualPistolGirl,weaponTypeName,开尔文525,开尔文525,,retained-project-value,,
3,ShotgunGirl,airSwimBraking,30,30,,retained-project-value,,
3,ShotgunGirl,airSwimFallSpeed,1.5,1.5,,retained-project-value,,
3,ShotgunGirl,airSwimGravity,4,4,,retained-project-value,,
3,ShotgunGirl,airSwimSpeed,6,6,,retained-project-value,,
3,ShotgunGirl,baseJumpSpreadDegrees,5,5,,retained-project-value,,
3,ShotgunGirl,baseSpreadDegrees,5,5,,retained-project-value,,
3,ShotgunGirl,brakeSeconds,0.13333333333333333,0.13333333333333333,,retained-project-value,,
3,ShotgunGirl,brakeSpeedMultiplier,0.66,0.66,,retained-project-value,,
3,ShotgunGirl,burstCount,1,1,,retained-project-value,,
3,ShotgunGirl,burstRecoverySeconds,0,0,,retained-project-value,,
3,ShotgunGirl,characterGravity,22,22,,retained-project-value,,
3,ShotgunGirl,characterPrefabAddress,Character/ShotgunGirl,Character/ShotgunGirl,,retained-project-value,,
3,ShotgunGirl,chargeMinDamage,0,0,,retained-project-value,,
3,ShotgunGirl,chargeMinInk,0,0,,retained-project-value,,
3,ShotgunGirl,chargeMinJumpSpread,0,0,,retained-project-value,,
3,ShotgunGirl,chargeMinRange,0,0,,retained-project-value,,
3,ShotgunGirl,chargeMinSpeed,0,0,,retained-project-value,,
3,ShotgunGirl,chargeMinSpread,0,0,,retained-project-value,,
3,ShotgunGirl,chargePartialMaxDamage,0,0,,retained-project-value,,
3,ShotgunGirl,chargeSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,collisionRadius,0.025,0.025,,retained-project-value,,
3,ShotgunGirl,damage,16,16,,retained-project-value,,
3,ShotgunGirl,damageMin,8,8,,retained-project-value,,
3,ShotgunGirl,damageReduceEndSeconds,0.3,0.3,,retained-project-value,,
3,ShotgunGirl,damageReduceStartSeconds,0.06666666666666667,0.06666666666666667,,retained-project-value,,
3,ShotgunGirl,displayName,白凛,白凛,,retained-project-value,,
3,ShotgunGirl,effectiveRange,6.5,6.5,,retained-project-value,,
3,ShotgunGirl,emergeStartSeconds,0.16666666666666666,0.16666666666666666,,retained-project-value,,
3,ShotgunGirl,enemyInkDamageRate,20,20,,retained-project-value,,
3,ShotgunGirl,enemyInkHealthFloor,60,60,,retained-project-value,,
3,ShotgunGirl,enemyInkMultiplier,0.55,0.55,,retained-project-value,,
3,ShotgunGirl,fireMode,3,3,,retained-project-value,,
3,ShotgunGirl,fireRate,2.5,2.5,,retained-project-value,,
3,ShotgunGirl,healthRecoverDelay,1,1,,retained-project-value,,
3,ShotgunGirl,healthRecoverRate,30,30,,retained-project-value,,
3,ShotgunGirl,id,3,3,,retained-project-value,,
3,ShotgunGirl,inkRecoverLockSeconds,0.5,0.5,,retained-project-value,,
3,ShotgunGirl,jumpSpeed,7,7,,retained-project-value,,
3,ShotgunGirl,jumpSpreadDegrees,5,5,,retained-project-value,,
3,ShotgunGirl,landingSpreadRecoverSeconds,0.2,0.2,,retained-project-value,,
3,ShotgunGirl,lifetime,10,10,,retained-project-value,,
3,ShotgunGirl,mantleSeconds,0.25,0.25,,retained-project-value,,
3,ShotgunGirl,maxHealth,100,100,,retained-project-value,,
3,ShotgunGirl,maxInk,100,100,,retained-project-value,,
3,ShotgunGirl,moveAcceleration,40,40,,retained-project-value,,
3,ShotgunGirl,moveSpeed,5,4.31335,0.096,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
3,ShotgunGirl,muzzleMode,0,0,,retained-project-value,,
3,ShotgunGirl,name,ShotgunGirl,ShotgunGirl,,retained-project-value,,
3,ShotgunGirl,neutralSwimSpeed,3,3,,retained-project-value,,
3,ShotgunGirl,paintHardness,0.55,0.55,,retained-project-value,,
3,ShotgunGirl,paintRadiusMax,1.3,1.3,,retained-project-value,,
3,ShotgunGirl,paintRadiusMin,0.95,0.95,,retained-project-value,,
3,ShotgunGirl,paintStrength,1,1,,retained-project-value,,
3,ShotgunGirl,pelletCount,8,8,,retained-project-value,,
3,ShotgunGirl,portraitAddress,Portrait/ShotgunGirl,Portrait/ShotgunGirl,,retained-project-value,,
3,ShotgunGirl,projectileGravity,14,14,,retained-project-value,,
3,ShotgunGirl,recoverInk,10,10,,retained-project-value,,
3,ShotgunGirl,semiBufferSeconds,0.1,0.1,,retained-project-value,,
3,ShotgunGirl,shootMoveSpeed,3.2,3.2,,retained-project-value,,
3,ShotgunGirl,shotInk,4,4,,retained-project-value,,
3,ShotgunGirl,speedMax,30,30,,retained-project-value,,
3,ShotgunGirl,speedMin,30,30,,retained-project-value,,
3,ShotgunGirl,splatlingChargeJumpSpeed,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingChargeMoveSpeed,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingFirstChargeSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingFirstShootSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingFootEvery,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingFootRadius,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingFullShootSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingMinChargeSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingPitchSpread,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingPlayerRadius,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingPostSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingSlowChargeMultiplier,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingSpeedBias,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingSpreadBias,0,0,,retained-project-value,,
3,ShotgunGirl,splatlingTrailCount,0,0,,retained-project-value,,
3,ShotgunGirl,spreadDegrees,5,5,,retained-project-value,,
3,ShotgunGirl,spreadExpandSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,spreadRecoverSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,startSeconds,0.03333333333333333,0.03333333333333333,,retained-project-value,,
3,ShotgunGirl,straightSeconds,0,0,,retained-project-value,,
3,ShotgunGirl,swimAcceleration,50,50,,retained-project-value,,
3,ShotgunGirl,swimHealthRecoverRate,60,60,,retained-project-value,,
3,ShotgunGirl,swimRecoverInk,33.333332,33.333332,,retained-project-value,,
3,ShotgunGirl,swimSpeed,8,8.6267,0.192,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
3,ShotgunGirl,trailMaxDrop,2.4,2.4,,retained-project-value,,
3,ShotgunGirl,trailRadiusMax,0.55,0.55,,retained-project-value,,
3,ShotgunGirl,trailRadiusMin,0.45,0.45,,retained-project-value,,
3,ShotgunGirl,trailSpacing,0.2,0.2,,retained-project-value,,
3,ShotgunGirl,wallGraceSeconds,0.1,0.1,,retained-project-value,,
3,ShotgunGirl,wallJumpSpeed,4,4,,retained-project-value,,
3,ShotgunGirl,wallProbeDistance,0.6,0.6,,retained-project-value,,
3,ShotgunGirl,wallSwimSpeed,4,4,,retained-project-value,,
3,ShotgunGirl,weaponConfigPath,Assets/GameResource/Weapons/ShotgunGirl/ShotgunGirlWeaponConfig.asset,Assets/GameResource/Weapons/ShotgunGirl/ShotgunGirlWeaponConfig.asset,,retained-project-value,,
3,ShotgunGirl,weaponPrefabAddress,Weapon/Shotgun,Weapon/Shotgun,,retained-project-value,,
3,ShotgunGirl,weaponTypeName,霰弹枪,霰弹枪,,retained-project-value,,
4,PistolGirl,airSwimBraking,30,30,,retained-project-value,,
4,PistolGirl,airSwimFallSpeed,1.5,1.5,,retained-project-value,,
4,PistolGirl,airSwimGravity,4,4,,retained-project-value,,
4,PistolGirl,airSwimSpeed,6,6,,retained-project-value,,
4,PistolGirl,baseJumpSpreadDegrees,0,0,,retained-project-value,,
4,PistolGirl,baseSpreadDegrees,0,0,,retained-project-value,,
4,PistolGirl,brakeSeconds,0.13333333333333333,0.06666666666666667,4,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,brakeSpeedMultiplier,0.66,0.66,,retained-project-value,,
4,PistolGirl,burstCount,1,1,,retained-project-value,,
4,PistolGirl,burstRecoverySeconds,0,0,,retained-project-value,,
4,PistolGirl,characterGravity,22,22,,retained-project-value,,
4,PistolGirl,characterPrefabAddress,Character/PistolGirl,Character/PistolGirl,,retained-project-value,,
4,PistolGirl,chargeMinDamage,0,0,,retained-project-value,,
4,PistolGirl,chargeMinInk,0,0,,retained-project-value,,
4,PistolGirl,chargeMinJumpSpread,0,0,,retained-project-value,,
4,PistolGirl,chargeMinRange,0,0,,retained-project-value,,
4,PistolGirl,chargeMinSpeed,0,0,,retained-project-value,,
4,PistolGirl,chargeMinSpread,0,0,,retained-project-value,,
4,PistolGirl,chargePartialMaxDamage,0,0,,retained-project-value,,
4,PistolGirl,chargeSeconds,0,0,,retained-project-value,,
4,PistolGirl,collisionRadius,0.025,0.14976910596164247,0.2,source-explicit,CollisionParam.EndRadiusForField,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,damage,28,28,,retained-project-value,,
4,PistolGirl,damageMin,14,14,,retained-project-value,,
4,PistolGirl,damageReduceEndSeconds,0.3333333333333333,0.3333333333333333,,retained-project-value,,
4,PistolGirl,damageReduceStartSeconds,0.16666666666666666,0.06666666666666667,4,source-explicit,DamageParam.ReduceStartFrame,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,displayName,隼音,隼音,,retained-project-value,,
4,PistolGirl,effectiveRange,9,9,,retained-project-value,,
4,PistolGirl,emergeStartSeconds,0.16666666666666666,0.16666666666666666,,retained-project-value,,
4,PistolGirl,enemyInkDamageRate,20,20,,retained-project-value,,
4,PistolGirl,enemyInkHealthFloor,60,60,,retained-project-value,,
4,PistolGirl,enemyInkMultiplier,0.55,0.55,,retained-project-value,,
4,PistolGirl,fireMode,0,0,,retained-project-value,,
4,PistolGirl,fireRate,12,12,,retained-project-value,,
4,PistolGirl,healthRecoverDelay,1,1,,retained-project-value,,
4,PistolGirl,healthRecoverRate,30,30,,retained-project-value,,
4,PistolGirl,id,4,4,,retained-project-value,,
4,PistolGirl,inkRecoverLockSeconds,0.3333333333333333,0.3333333333333333,,retained-project-value,,
4,PistolGirl,jumpSpeed,7,7,,retained-project-value,,
4,PistolGirl,jumpSpreadDegrees,0,0,,retained-project-value,,
4,PistolGirl,landingSpreadRecoverSeconds,0.2,0.2,,retained-project-value,,
4,PistolGirl,lifetime,10,10,,retained-project-value,,
4,PistolGirl,mantleSeconds,0.25,0.25,,retained-project-value,,
4,PistolGirl,maxHealth,100,100,,retained-project-value,,
4,PistolGirl,maxInk,100,100,,retained-project-value,,
4,PistolGirl,motionMode,,4,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,moveAcceleration,40,40,,retained-project-value,,
4,PistolGirl,moveSpeed,5,4.6727962,0.104,source-explicit,Common.1130,Tools/ValidationData/WeaponAudit/Common.1130.json
4,PistolGirl,muzzleMode,0,0,,retained-project-value,,
4,PistolGirl,name,PistolGirl,PistolGirl,,retained-project-value,,
4,PistolGirl,neutralSwimSpeed,3,3,,retained-project-value,,
4,PistolGirl,paintDepthBreakMax,,2.02,2.02,source-explicit,PaintParam.DepthScaleMaxBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDepthBreakMin,,1.01,1.01,source-explicit,PaintParam.DepthScaleMinBreakFree,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDepthMax,,2.02,2.02,source-explicit,PaintParam.DepthScaleMax,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDepthMin,,1.18,1.18,source-explicit,PaintParam.DepthScaleMin,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDistanceFar,,9.0,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDistanceMiddle,,0.8237300827890337,1.1,source-explicit,PaintParam.DistanceMiddle,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDropGravity,,43.13350251695304,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintDropLifetime,,5,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintHardness,0.55,0.55,,retained-project-value,,
4,PistolGirl,paintRadiusMax,1,1.6399717102799851,2.19,source-explicit,PaintParam.WidthHalfNear,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintRadiusMin,0.65,1.325456587760536,1.77,source-explicit,PaintParam.WidthHalfFar,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,paintStrength,1,1,,retained-project-value,,
4,PistolGirl,pelletCount,1,1,,retained-project-value,,
4,PistolGirl,portraitAddress,Portrait/PistolGirl,Portrait/PistolGirl,,retained-project-value,,
4,PistolGirl,projectileGravity,18,43.13350251695304,0.016,source-explicit,MoveParam.FreeGravity,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,recoverInk,10,10,,retained-project-value,,
4,PistolGirl,referenceBrakeDrag,,0.36,0.36,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceBrakeEndSpeed,,73.18766901027583,1.6289,source-explicit,MoveParam.GoStraightStateEndMaxSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceBrakeGravity,,188.70907351166954,0.07,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceFootEvery,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceFootRadius,,1.543220867828764,2.0608,source-explicit,SplashPaintParam.WidthHalfNearest,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceFreeDrag,,0,0,reference-simulator-default,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referencePlayerRadius,,0.21342097599534052,0.285,source-explicit,CollisionParam.EndRadiusForPlayer,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceRules,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceTrailBudget,,1.5,1.5,source-explicit,SplashSpawnParam.SpawnNum,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceTrailRandomPhase,,1,,project-adaptation,,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,referenceTrailStart,,0.8611723592794442,1.15,source-explicit,SplashSpawnParam.SpawnNearestLength,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,semiBufferSeconds,0,0,,retained-project-value,,
4,PistolGirl,shootMoveSpeed,3.6,3.235012688771477,0.072,source-explicit,WeaponParam.MoveSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
4,PistolGirl,shotInk,0.8,0.8,,retained-project-value,,
4,PistolGirl,speedMax,35,181.41232266921833,4.0376,source-explicit,MoveParam.SpawnSpeed,https://raw.githubusercontent.com/Leanny/splat3/7280ff9cde8bb1c5dcef46c700c326471584d2e6/data/parameter/1130/weapon/WeaponShooterPrecision.game__GameParameterTable.json
