weapon,path,value,projectFields,status
4,GameParameters.spl__SpawnBulletAdditionMovePlayerParam.ZRate,2.0,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.CollisionParam.EndRadiusForField,0.02,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.CollisionParam.EndRadiusForPlayer,0.125,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.CollisionParam.InitRadiusForField,0.02,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.CollisionParam.InitRadiusForPlayer,0.125,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.DamageParam.ValueFullCharge,1600,damage,原始覆盖；不包含缺失的类型默认值
5,GameParameters.DamageParam.ValueMaxCharge,800,chargePartialMaxDamage,原始覆盖；不包含缺失的类型默认值
5,GameParameters.DamageParam.ValueMinCharge,400,chargeMinDamage,原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.DistanceFullCharge,24.037,effectiveRange,原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.DistanceMaxCharge,24.037,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.DistanceMinCharge,9.033,chargeMinRange,原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.SpawnSpeedFullCharge,4.8,"speedMin,speedMax",原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.SpawnSpeedMaxCharge,4.8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.MoveParam.SpawnSpeedMinCharge,2.4,chargeMinSpeed,原始覆盖；不包含缺失的类型默认值
5,GameParameters.PaintParam.RadiusFullCharge,3.263,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.PaintParam.RadiusMaxCharge,2.719,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.PaintParam.RadiusMinCharge,0.906,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.DepthHalfFullCharge,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.DepthHalfMaxCharge,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.DepthHalfMinCharge,2.73,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.RadiusSpawnNearest,1.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.WidthHalfFullCharge,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.WidthHalfMaxCharge,1.56,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashPaintParam.WidthHalfMinCharge,0.78,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashSpawnParam.OnTopRateFullCharge,0.34,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashSpawnParam.OnTopRateMaxCharge,0.25,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashSpawnParam.OnTopRateMinCharge,0.125,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashSpawnParam.SkipNum,1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusFall,0.675,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusFallMaxCharge,0.675,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusFallMinCharge,0.45,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusGround,0.4,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusShock,0.9,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusShockMaxCharge,0.9,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropCollisionPaintParam.PaintRadiusShockMinCharge,0.6,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodFirstFrameMax,30,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodFirstFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.04,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodLastFrameMax,30,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodLastFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.SplashWallHitParam.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.05,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusFall,1.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusFallMaxCharge,1.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusFallMinCharge,0.8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusShock,1.8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusShockMaxCharge,1.8,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropCollisionPaintParam.PaintRadiusShockMinCharge,1.2,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropMoveParam.FallPeriodFirstFrameMin,15,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropMoveParam.FallPeriodFirstTargetSpeed,0.04,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropMoveParam.FallPeriodLastFrameMax,30,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WallDropMoveParam.FallPeriodSecondTargetSpeed,0.05,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.KeepChargeFullFrame,75,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.KeepChargePreDelayFrame,23,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.KeepChargePreDelayFrame_Pre,18,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.MuzzleLocalPos.X,-0.314,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.MuzzleLocalPos.Y,0.2105,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponKeepChargeParam.MuzzleLocalPos.Z,2.0176,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.FreezeFrameFullCharge,1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.FreezeFrameMinCharge,1,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.InkConsumeFullCharge,0.18,shotInk,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.InkConsumeMinCharge,0.0225,chargeMinInk,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.JumpHeightFullCharge,0.07,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.MoveJumpDownBias,0.5,未建模/无直接对应,原始覆盖；不包含缺失的类型默认值
5,GameParameters.WeaponParam.MoveSpeedFullCharge,0.02,shootMoveSpeed,原始覆盖；不包含缺失的类型默认值
